data;demanda
2016-01-08;74698,00
2016-01-15;77471,00
2016-01-22;73005,00
2016-01-29;77878,00
2016-02-05;79361,00
2016-02-12;80529,00
2016-02-19;82002,00
2016-02-26;81243,00
2016-03-04;76784,00
2016-03-11;79795,00
2016-03-18;79632,00
2016-03-25;79436,00
2016-04-01;79217,00
2016-04-08;78350,00
2016-04-15;79030,00
2016-04-22;79894,00
2016-04-29;77014,00
2016-05-06;70705,00
2016-05-13;71845,00
2016-05-20;70941,00
2016-05-27;70137,00
2016-06-03;71565,00
2016-06-10;71369,00
2016-06-17;70286,00
2016-06-24;70275,00
2016-07-01;69515,00
2016-07-08;69529,00
2016-07-15;70933,00
2016-07-22;69931,00
2016-07-29;70539,00
2016-08-05;69892,00
2016-08-12;70105,00
2016-08-19;72308,00
2016-08-26;69456,00
2016-09-02;71470,00
2016-09-09;68745,00
2016-09-16;73424,00
2016-09-23;71751,00
2016-09-30;71625,00
2016-10-07;69819,00
2016-10-14;72662,00
2016-10-21;79605,00
2016-10-28;75204,00
2016-11-04;73244,00
2016-11-11;76803,00
2016-11-18;73293,00
2016-11-25;74905,00
2016-12-02;77683,00
2016-12-09;77601,00
2016-12-16;77686,00
2016-12-23;72490,00
2016-12-30;73813,00
2017-01-06;77532,00
2017-01-13;80743,00
2017-01-20;78824,00
2017-01-27;80428,00
2017-02-03;80577,00
2017-02-10;80716,00
2017-02-17;83423,00
2017-02-24;85306,00
2017-03-03;81516,00
2017-03-10;83244,00
2017-03-17;80426,00
2017-03-24;78104,00
2017-03-31;76533,00
2017-04-07;76572,00
2017-04-14;77751,00
2017-04-21;73717,00
2017-04-28;72946,00
2017-05-05;71735,00
2017-05-12;72284,00
2017-05-19;73199,00
2017-05-26;72959,00
2017-06-02;71071,00
2017-06-09;73418,00
2017-06-16;71888,00
2017-06-23;71579,00
2017-06-30;71461,00
2017-07-07;70367,00
2017-07-14;70788,00
2017-07-21;70509,00
2017-07-28;71147,00
2017-08-04;70262,00
2017-08-11;71678,00
2017-08-18;71231,00
2017-08-25;70006,00
2017-09-01;72616,00
2017-09-08;71163,00
2017-09-15;75695,00
2017-09-22;75384,00
2017-09-29;74416,00
2017-10-06;75892,00
2017-10-13;78672,00
2017-10-20;77204,00
2017-10-27;75385,00
2017-11-03;73868,00
2017-11-10;74746,00
2017-11-17;78570,00
2017-11-24;74730,00
2017-12-01;77001,00
2017-12-08;78131,00
2017-12-15;78903,00
2017-12-22;78077,00
2017-12-29;72298,00
2018-01-05;74235,00
2018-01-12;77449,00
2018-01-19;82506,00
2018-01-26;83809,00
2018-02-02;80286,00
2018-02-09;81136,00
2018-02-16;77380,00
2018-02-23;80693,00
2018-03-02;82529,00
2018-03-09;83380,00
2018-03-16;84249,00
2018-03-23;82529,00
2018-03-30;78291,00
2018-04-06;78363,00
