din_instante;N;NE;S;SE
02/01/2016;111,14;352,86;45,78;46,02
09/01/2016;85,28;318,24;35,76;35,76
16/01/2016;30,25;309,97;30,25;30,25
23/01/2016;30,25;304,41;30,25;30,25
30/01/2016;30,25;139,88;30,25;30,25
06/02/2016;30,25;111,65;30,25;30,25
13/02/2016;30,25;137,81;30,25;30,25
20/02/2016;30,25;243,41;30,25;30,25
27/02/2016;32,16;223,17;32,16;32,16
05/03/2016;51,93;240,34;51,93;51,93
12/03/2016;30,58;259,26;30,58;30,58
19/03/2016;30,25;248,60;30,25;30,25
26/03/2016;41,82;265,53;41,82;41,82
02/04/2016;43,13;276,82;43,13;43,13
09/04/2016;47,79;275,50;47,79;47,79
16/04/2016;51,45;262,72;51,45;51,45
23/04/2016;51,03;275,22;51,03;51,03
30/04/2016;87,90;103,20;86,45;86,45
07/05/2016;82,12;99,79;80,39;80,39
14/05/2016;76,70;99,79;72,54;74,51
21/05/2016;77,98;99,79;73,31;73,31
28/05/2016;143,67;143,67;55,80;59,68
04/06/2016;90,74;113,72;50,34;59,54
11/06/2016;87,19;130,78;50,22;58,29
18/06/2016;109,14;112,76;53,12;56,8
25/06/2016;104,13;104,13;72,94;72,94
02/07/2016;83,94;95,22;82,14;82,14
09/07/2016;108,91;108,91;86,22;86,22
16/07/2016;111,88;111,88;79,96;79,96
23/07/2016;117,05;117,05;77,36;77,36
30/07/2016;117,58;117,58;117,58;117,58
06/08/2016;117,44;117,44;117,44;117,44
13/08/2016;115,63;115,63;115,63;115,63
20/08/2016;111,74;111,74;94,51;94,51
27/08/2016;140,71;140,71;122,17;140,71
01/09/2016;140,71;140,71;122,17;140,71
03/09/2016;147,87;147,87;127,83;147,87
10/09/2016;148,26;148,26;135,69;148,26
17/09/2016;145,50;145,50;145,50;145,5
24/09/2016;155,22;155,22;155,22;155,22
01/10/2016;213,29;213,29;213,29;213,29
08/10/2016;214,32;214,32;214,32;214,32
15/10/2016;193,41;193,41;193,41;193,41
22/10/2016;165,81;165,81;165,81;165,81
29/10/2016;232,85;232,85;232,85;232,85
01/11/2016;178,59;178,59;178,59;178,59
05/11/2016;184,23;184,23;184,23;184,23
12/11/2016;169,90;169,90;169,90;169,9
19/11/2016;153,48;153,48;153,48;153,48
26/11/2016;142,85;142,85;142,85;142,85
03/12/2016;101,99;101,99;101,99;101,99
10/12/2016;121,56;121,56;121,56;121,56
17/12/2016;142,93;142,93;142,93;142,93
24/12/2016;113,62;113,62;113,62;113,62
31/12/2016;140,86;140,86;140,86;140,86
07/01/2017;101,24;124,05;101,24;101,24
14/01/2017;128,50;135,09;128,50;128,5
21/01/2017;129,90;138,94;129,90;129,9
28/01/2017;100,64;171,33;100,64;100,64
04/02/2017;111,91;171,33;111,91;111,91
11/02/2017;120,97;159,77;120,97;120,97
18/02/2017;33,68;148,93;132,38;132,38
25/02/2017;33,68;184,49;184,49;184,49
04/03/2017;33,68;185,06;185,06;185,06
11/03/2017;33,68;241,65;238,55;238,55
18/03/2017;33,68;386,46;219,10;219,1
25/03/2017;33,68;365,35;235,67;235,67
01/04/2017;33,68;430,14;426,10;426,1
08/04/2017;33,68;356,68;356,68;356,68
15/04/2017;33,68;350,66;350,66;350,66
22/04/2017;33,68;331,01;331,01;331,01
29/04/2017;33,68;448,58;448,58;448,58
06/05/2017;33,68;463,69;463,69;463,69
13/05/2017;145,62;477,50;477,50;477,5
20/05/2017;476,01;478,01;478,01;478,01
27/05/2017;118,77;157,33;118,77;118,77
03/06/2017;103,07;127,60;33,68;103,07
10/06/2017;93,90;123,25;33,68;93,9
17/06/2017;140,18;140,18;87,00;140,18
24/06/2017;178,85;178,85;91,44;160,62
01/07/2017;233,32;233,32;233,32;233,32
08/07/2017;253,45;253,45;253,45;253,45
15/07/2017;266,98;266,98;266,98;266,98
22/07/2017;269,76;269,76;269,76;269,76
29/07/2017;514,66;514,66;514,66;514,66
05/08/2017;533,82;533,82;533,82;533,82
12/08/2017;521,83;521,83;521,83;521,83
19/08/2017;505,61;505,61;505,61;505,61
26/08/2017;449,04;449,04;449,04;449,04
02/09/2017;494,46;494,46;494,46;494,46
09/09/2017;533,82;533,82;533,82;533,82
16/09/2017;533,82;533,82;533,82;533,82
23/09/2017;533,82;533,82;533,82;533,82
30/09/2017;533,82;533,82;533,82;533,82
07/10/2017;533,82;533,82;533,82;533,82
14/10/2017;533,82;533,82;533,82;533,82
21/10/2017;533,82;533,82;533,82;533,82
28/10/2017;533,82;533,82;533,82;533,82
04/11/2017;483,21;483,21;483,21;483,21
11/11/2017;481,66;481,66;481,66;481,66
18/11/2017;449,83;449,83;449,83;449,83
25/11/2017;208,53;208,53;208,52;208,53
02/12/2017;220,16;220,16;220,16;220,16
09/12/2017;214,51;214,51;214,51;214,51
16/12/2017;274,98;274,98;274,98;274,98
23/12/2017;245,63;245,63;245,63;245,63
30/12/2017;168,14;182,49;199,55;196,1
06/01/2018;165,52;179,91;178,67;176,64
13/01/2018;142,37;162,06;165,82;162,95
20/01/2018;145,60;190,37;191,89;192,89
27/01/2018;78,68;176,34;152,06;175,04
03/02/2018;40,16;176,42;178,50;179,42
10/02/2018;40,16;167,60;173,44;170,45
17/02/2018;40,16;184,27;214,37;210,79
24/02/2018;40,16;189,22;201,98;201,98
03/03/2018;40,16;223,21;223,21;223,21
10/03/2018;40,16;236,02;236,02;236,02
